Exception_ID,Record_ID,Company,Industry,Country,Reporting_Year,ESG_Category,Metric,Source_Type,Rule_ID,Exception_Type,Severity,Severity_Rank,Original_Value,Original_Unit,Description,Recommended_Action,Remediation_Status,Exception_Count
E0001,R0001,Apex Manufacturing,Manufacturing,India,2024.0,Climate Strategy,Emissions Reduction Target,Internal ESG System,DQ008,Outlier,Medium,2,907.1999999999999,%,Outlier detected by deterministic validation.,Review the unusual value against supporting evidence.,Open,1
E0002,R0004,Apex Manufacturing,Manufacturing,India,2024.0,Climate Strategy,Net Zero Target,Internal ESG System,DQ001,Missing Value,High,3,,Yes/No,Missing Value detected by deterministic validation.,Obtain the missing metric value.,Open,1
E0003,R0009,Apex Manufacturing,Manufacturing,India,2024.0,Waste,Waste Recycled,Internal ESG System,DQ002,Duplicate Record,Medium,2,6355.6,tonnes,Duplicate Record detected by deterministic validation.,Remove the duplicate after source verification.,Open,1
E0004,R0012,Apex Manufacturing,Manufacturing,India,2025.0,Workforce / ESG,Employee Turnover,Internal ESG System,DQ003,Invalid Unit,Medium,2,12.2,GJ,Invalid Unit detected by deterministic validation.,Standardize to the controlled metric unit.,Open,1
E0005,R0019,BluePeak Retail,Retail,France,2024.0,Climate Strategy,Emissions Reduction Target,Internal ESG System,DQ006,Missing Scope,High,3,34.9,%,Missing Scope detected by deterministic validation.,Confirm the GHG scope classification.,Open,1
E0006,R0023,BluePeak Retail,Retail,France,2024.0,Climate,Scope 1 Emissions,Internal ESG System,DQ004,Negative Emissions,Critical,4,-9512.4,tCO2e,Negative Emissions detected by deterministic validation.,Verify the negative emissions value against the source.,Open,1
E0007,R0023,BluePeak Retail,Retail,France,2024.0,Climate,Scope 1 Emissions,Internal ESG System,DQ008,Outlier,Medium,2,-9512.4,tCO2e,Outlier detected by deterministic validation.,Review the unusual value against supporting evidence.,Open,1
E0008,R0025,BluePeak Retail,Retail,France,2024.0,Climate,Scope 3 Emissions,Internal ESG System,DQ008,Outlier,Medium,2,243417.6,tCO2e,Outlier detected by deterministic validation.,Review the unusual value against supporting evidence.,Open,1
E0009,R0027,BluePeak Retail,Retail,France,2024.0,Water,Water Consumption,Internal ESG System,DQ008,Outlier,Medium,2,6653.0,ML,Outlier detected by deterministic validation.,Review the unusual value against supporting evidence.,Open,1
E0010,R0028,BluePeak Retail,Retail,France,2024.0,Workforce / ESG,Workforce Training Hours,Internal ESG System,DQ001,Missing Value,High,3,,hours,Missing Value detected by deterministic validation.,Obtain the missing metric value.,Open,1
E0011,R0032,BluePeak Retail,Retail,France,2025.0,Waste,Waste Generated,Internal ESG System,DQ009,Missing Source,Low,1,11530.6,tonnes,Missing Source detected by deterministic validation.,Attach the missing source reference.,Open,1
E0012,R0033,BluePeak Retail,Retail,France,2025.0,Waste,Waste Recycled,Internal ESG System,DQ008,Outlier,Medium,2,23060.9,tonnes,Outlier detected by deterministic validation.,Review the unusual value against supporting evidence.,Open,1
E0013,R0037,Crescent Finance,Financial Services,Singapore,2024.0,Energy,Energy Consumption,Internal ESG System,DQ003,Invalid Unit,Medium,2,571395.2,kWh,Invalid Unit detected by deterministic validation.,Standardize to the controlled metric unit.,Open,1
E0014,R0050,Crescent Finance,Financial Services,Singapore,2025.0,Waste,Waste Recycled,Internal ESG System,DQ003,Invalid Unit,Medium,2,7723.9,GJ,Invalid Unit detected by deterministic validation.,Standardize to the controlled metric unit.,Open,1
E0015,R0057,Everline Consumer Goods,Retail,Netherlands,,Waste,Waste Generated,Internal ESG System,DQ005,Missing Reporting Year,High,3,7336.2,tonnes,Missing Reporting Year detected by deterministic validation.,Confirm and populate the reporting period.,Open,1
E0016,R0059,Everline Consumer Goods,Retail,Netherlands,2024.0,Water,Water Consumption,Internal ESG System,DQ001,Missing Value,High,3,,ML,Missing Value detected by deterministic validation.,Obtain the missing metric value.,Open,1
E0017,R0076,GreenGrid Energy,Energy,Germany,2025.0,Climate Strategy,Emissions Reduction Target,Internal ESG System,DQ004,Negative Emissions,Critical,4,-54.9,%,Negative Emissions detected by deterministic validation.,Verify the negative emissions value against the source.,Open,1
E0018,R0076,GreenGrid Energy,Energy,Germany,2025.0,Climate Strategy,Emissions Reduction Target,Internal ESG System,DQ008,Outlier,Medium,2,-54.9,%,Outlier detected by deterministic validation.,Review the unusual value against supporting evidence.,Open,1
E0019,R0085,Northstar Foods,Retail,United Kingdom,2024.0,Climate Strategy,Emissions Reduction Target,Internal ESG System,DQ009,Missing Source,Low,1,48.3,%,Missing Source detected by deterministic validation.,Attach the missing source reference.,Open,1
E0020,R0092,Northstar Foods,Retail,United Kingdom,2024.0,Climate,Scope 3 Emissions,Internal ESG System,DQ001,Missing Value,High,3,,tCO2e,Missing Value detected by deterministic validation.,Obtain the missing metric value.,Open,1
E0021,R0097,Northstar Foods,Retail,United Kingdom,2025.0,Workforce / ESG,Employee Turnover,Internal ESG System,DQ002,Duplicate Record,Medium,2,12.5,%,Duplicate Record detected by deterministic validation.,Remove the duplicate after source verification.,Open,1
E0022,R0104,Northstar Foods,Retail,United Kingdom,2025.0,Waste,Waste Generated,Internal ESG System,DQ003,Invalid Unit,Medium,2,12415.2,GJ,Invalid Unit detected by deterministic validation.,Standardize to the controlled metric unit.,Open,1
E0023,R0113,Nova Healthcare,Healthcare,Canada,2024.0,Climate,Scope 2 Emissions,Internal ESG System,DQ008,Outlier,Medium,2,49915.6,tCO2e,Outlier detected by deterministic validation.,Review the unusual value against supporting evidence.,Open,1
