Record_ID,Company,Industry,Country,Reporting_Year,ESG_Category,Metric,Scope,Value,Unit,Source_Type,Source_Reference,Required,Expected_Unit
R0001,Apex Manufacturing,Manufacturing,India,2024.0,Climate Strategy,Emissions Reduction Target,Emissions,907.1999999999999,%,Internal ESG System,SRC-2024-01,True,%
R0002,Apex Manufacturing,Manufacturing,India,2024.0,Workforce / ESG,Employee Turnover,N/A,13.9,%,Internal ESG System,SRC-2024-01,True,%
R0003,Apex Manufacturing,Manufacturing,India,2024.0,Energy,Energy Consumption,N/A,303573.6,MWh,Internal ESG System,SRC-2024-01,True,MWh
R0004,Apex Manufacturing,Manufacturing,India,2024.0,Climate Strategy,Net Zero Target,N/A,,Yes/No,Internal ESG System,SRC-2024-01,True,Yes/No
R0005,Apex Manufacturing,Manufacturing,India,2024.0,Energy,Renewable Energy Consumption,N/A,122619.6,MWh,Internal ESG System,SRC-2024-01,True,MWh
R0006,Apex Manufacturing,Manufacturing,India,2024.0,Climate,Scope 1 Emissions,Emissions,15656.5,tCO2e,Internal ESG System,SRC-2024-01,True,tCO2e
R0007,Apex Manufacturing,Manufacturing,India,2024.0,Climate,Scope 2 Emissions,Emissions,33592.3,tCO2e,Internal ESG System,SRC-2024-01,True,tCO2e
R0008,Apex Manufacturing,Manufacturing,India,2024.0,Climate,Scope 3 Emissions,Emissions,50090.4,tCO2e,Internal ESG System,SRC-2024-01,True,tCO2e
R0009,Apex Manufacturing,Manufacturing,India,2024.0,Waste,Waste Recycled,N/A,6355.6,tonnes,Internal ESG System,SRC-2024-01,True,tonnes
R0010,Apex Manufacturing,Manufacturing,India,2024.0,Water,Water Consumption,N/A,1222.8,ML,Internal ESG System,SRC-2024-01,True,ML
R0011,Apex Manufacturing,Manufacturing,India,2024.0,Workforce / ESG,Workforce Training Hours,N/A,54.4,hours,Internal ESG System,SRC-2024-01,True,hours
R0012,Apex Manufacturing,Manufacturing,India,2025.0,Workforce / ESG,Employee Turnover,N/A,12.2,GJ,Internal ESG System,SRC-2025-01,True,%
R0013,Apex Manufacturing,Manufacturing,India,2025.0,Energy,Energy Consumption,N/A,291501.9,MWh,Internal ESG System,SRC-2025-01,True,MWh
R0014,Apex Manufacturing,Manufacturing,India,2025.0,Climate Strategy,Net Zero Target,N/A,Yes,Yes/No,Internal ESG System,SRC-2025-01,True,Yes/No
R0015,Apex Manufacturing,Manufacturing,India,2025.0,Energy,Renewable Energy Consumption,N/A,124805.8,MWh,Internal ESG System,SRC-2025-01,True,MWh
R0016,Apex Manufacturing,Manufacturing,India,2025.0,Climate,Scope 1 Emissions,Emissions,21336.4,tCO2e,Internal ESG System,SRC-2025-01,True,tCO2e
R0017,Apex Manufacturing,Manufacturing,India,2025.0,Water,Water Consumption,N/A,2412.2,ML,Internal ESG System,SRC-2025-01,True,ML
R0018,Apex Manufacturing,Manufacturing,India,2025.0,Workforce / ESG,Workforce Training Hours,N/A,15.3,hours,Internal ESG System,SRC-2025-01,True,hours
R0019,BluePeak Retail,Retail,France,2024.0,Climate Strategy,Emissions Reduction Target,,34.9,%,Internal ESG System,SRC-2024-06,True,%
R0020,BluePeak Retail,Retail,France,2024.0,Workforce / ESG,Employee Turnover,N/A,12.8,%,Internal ESG System,SRC-2024-06,True,%
R0021,BluePeak Retail,Retail,France,2024.0,Climate Strategy,Net Zero Target,N/A,No,Yes/No,Internal ESG System,SRC-2024-06,True,Yes/No
R0022,BluePeak Retail,Retail,France,2024.0,Energy,Renewable Energy Consumption,N/A,81612.2,MWh,Internal ESG System,SRC-2024-06,True,MWh
R0023,BluePeak Retail,Retail,France,2024.0,Climate,Scope 1 Emissions,Emissions,-9512.4,tCO2e,Internal ESG System,SRC-2024-06,True,tCO2e
R0024,BluePeak Retail,Retail,France,2024.0,Climate,Scope 2 Emissions,Emissions,13639.3,tCO2e,Internal ESG System,SRC-2024-06,True,tCO2e
R0025,BluePeak Retail,Retail,France,2024.0,Climate,Scope 3 Emissions,Emissions,243417.6,tCO2e,Internal ESG System,SRC-2024-06,True,tCO2e
R0026,BluePeak Retail,Retail,France,2024.0,Waste,Waste Recycled,N/A,7579.9,tonnes,Internal ESG System,SRC-2024-06,True,tonnes
R0027,BluePeak Retail,Retail,France,2024.0,Water,Water Consumption,N/A,6653.0,ML,Internal ESG System,SRC-2024-06,True,ML
R0028,BluePeak Retail,Retail,France,2024.0,Workforce / ESG,Workforce Training Hours,N/A,,hours,Internal ESG System,SRC-2024-06,True,hours
R0029,BluePeak Retail,Retail,France,2025.0,Climate Strategy,Emissions Reduction Target,Emissions,60.8,%,Internal ESG System,SRC-2025-06,True,%
R0030,BluePeak Retail,Retail,France,2025.0,Workforce / ESG,Employee Turnover,N/A,19.3,%,Internal ESG System,SRC-2025-06,True,%
R0031,BluePeak Retail,Retail,France,2025.0,Climate Strategy,Net Zero Target,N/A,Yes,Yes/No,Internal ESG System,SRC-2025-06,True,Yes/No
R0032,BluePeak Retail,Retail,France,2025.0,Waste,Waste Generated,N/A,11530.6,tonnes,Internal ESG System,,True,tonnes
R0033,BluePeak Retail,Retail,France,2025.0,Waste,Waste Recycled,N/A,23060.9,tonnes,Internal ESG System,SRC-2025-06,True,tonnes
