Company,Industry,Country,Reporting_Year,Requirement_Area,Required_Data,Availability,Availability_Flag,Requirement_Count,Gap_Flag,Regulatory_Coverage_Pct,Data_Quality_Score,Readiness_Score,Gap,Priority,High_Risk_Gap_Count,Recommended_Action
Apex Manufacturing,Manufacturing,India,2024,Scope 1,Scope 1 Emissions,Available,1,1,0,88.9,88.8,88.9,No gap,Low,0,Maintain evidence and scheduled validation.
Apex Manufacturing,Manufacturing,India,2024,Scope 2,Scope 2 Emissions,Available,1,1,0,88.9,88.8,88.9,No gap,Low,0,Maintain evidence and scheduled validation.
Apex Manufacturing,Manufacturing,India,2024,Scope 3,Scope 3 Emissions,Available,1,1,0,88.9,88.8,88.9,No gap,Low,0,Maintain evidence and scheduled validation.
Apex Manufacturing,Manufacturing,India,2024,Energy consumption,Energy Consumption,Available,1,1,0,88.9,88.8,88.9,No gap,Low,0,Maintain evidence and scheduled validation.
Apex Manufacturing,Manufacturing,India,2024,Renewable energy,Renewable Energy Consumption,Available,1,1,0,88.9,88.8,88.9,No gap,Low,0,Maintain evidence and scheduled validation.
Apex Manufacturing,Manufacturing,India,2024,Emissions reduction target,Emissions Reduction Target,Available,1,1,0,88.9,88.8,88.9,No gap,Low,0,Maintain evidence and scheduled validation.
Apex Manufacturing,Manufacturing,India,2024,Net-zero target,Net Zero Target,Available,1,1,0,88.9,88.8,88.9,No gap,Low,0,Maintain evidence and scheduled validation.
Apex Manufacturing,Manufacturing,India,2024,Water,Water Consumption,Available,1,1,0,88.9,88.8,88.9,No gap,Low,0,Maintain evidence and scheduled validation.
Apex Manufacturing,Manufacturing,India,2024,Waste,Waste Generated,Missing,0,1,1,88.9,88.8,88.9,Gap identified,High,0,Close the data gap and validate supporting evidence.
Apex Manufacturing,Manufacturing,India,2025,Scope 1,Scope 1 Emissions,Available,1,1,0,55.6,83.2,63.8,No gap,Low,2,Maintain evidence and scheduled validation.
Apex Manufacturing,Manufacturing,India,2025,Scope 2,Scope 2 Emissions,Missing,0,1,1,55.6,83.2,63.8,Gap identified,Critical,2,Close the data gap and validate supporting evidence.
Apex Manufacturing,Manufacturing,India,2025,Scope 3,Scope 3 Emissions,Missing,0,1,1,55.6,83.2,63.8,Gap identified,Critical,2,Close the data gap and validate supporting evidence.
Apex Manufacturing,Manufacturing,India,2025,Energy consumption,Energy Consumption,Available,1,1,0,55.6,83.2,63.8,No gap,Low,2,Maintain evidence and scheduled validation.
Apex Manufacturing,Manufacturing,India,2025,Renewable energy,Renewable Energy Consumption,Available,1,1,0,55.6,83.2,63.8,No gap,Low,2,Maintain evidence and scheduled validation.
Apex Manufacturing,Manufacturing,India,2025,Emissions reduction target,Emissions Reduction Target,Missing,0,1,1,55.6,83.2,63.8,Gap identified,High,2,Close the data gap and validate supporting evidence.
Apex Manufacturing,Manufacturing,India,2025,Net-zero target,Net Zero Target,Available,1,1,0,55.6,83.2,63.8,No gap,Low,2,Maintain evidence and scheduled validation.
Apex Manufacturing,Manufacturing,India,2025,Water,Water Consumption,Available,1,1,0,55.6,83.2,63.8,No gap,Low,2,Maintain evidence and scheduled validation.
