ESG_Category,Metric,Expected_Company_Years,Available_Company_Years,Completeness_Pct
Climate,Scope 1 Emissions,24,18,75.0
Climate,Scope 2 Emissions,24,14,58.3
Climate,Scope 3 Emissions,24,16,66.7
Climate Strategy,Emissions Reduction Target,24,16,66.7
Climate Strategy,Net Zero Target,24,21,87.5
Energy,Energy Consumption,24,19,79.2
Energy,Renewable Energy Consumption,24,20,83.3
Waste,Waste Generated,24,18,75.0
Waste,Waste Recycled,24,18,75.0
Water,Water Consumption,24,18,75.0
Workforce / ESG,Employee Turnover,24,20,83.3
Workforce / ESG,Workforce Training Hours,24,20,83.3
