Record_ID,Company,Industry,Country,Reporting_Year,ESG_Category,Metric,Scope,Value,Unit,Source_Type,Source_Reference,Required,Expected_Unit,ESG_Category_Reference,Required_Flag,Unique_Record_Key,Duplicate_Flag,Missing_Value_Flag,Invalid_Unit_Flag,Negative_Emissions_Flag,Missing_Scope_Flag,Missing_Year_Flag,Missing_Source_Flag,Outlier_Flag,Exception_Count,Validation_Status,Severity
R0001,Apex Manufacturing,Manufacturing,India,2024.0,Climate Strategy,Emissions Reduction Target,Emissions,907.1999999999999,%,Internal ESG System,SRC-2024-01,True,%,Climate Strategy,True,Apex Manufacturing|2024.0|Emissions Reduction Target,False,False,False,False,False,False,False,True,1,Exception,Medium
R0002,Apex Manufacturing,Manufacturing,India,2024.0,Workforce / ESG,Employee Turnover,,13.9,%,Internal ESG System,SRC-2024-01,True,%,Workforce / ESG,True,Apex Manufacturing|2024.0|Employee Turnover,False,False,False,False,False,False,False,False,0,Valid,None
R0003,Apex Manufacturing,Manufacturing,India,2024.0,Energy,Energy Consumption,,303573.6,MWh,Internal ESG System,SRC-2024-01,True,MWh,Energy,True,Apex Manufacturing|2024.0|Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0004,Apex Manufacturing,Manufacturing,India,2024.0,Climate Strategy,Net Zero Target,,,Yes/No,Internal ESG System,SRC-2024-01,True,Yes/No,Climate Strategy,True,Apex Manufacturing|2024.0|Net Zero Target,False,True,False,False,False,False,False,False,1,Exception,High
R0005,Apex Manufacturing,Manufacturing,India,2024.0,Energy,Renewable Energy Consumption,,122619.6,MWh,Internal ESG System,SRC-2024-01,True,MWh,Energy,True,Apex Manufacturing|2024.0|Renewable Energy Consumption,False,False,False,False,False,False,False,False,0,Valid,None
R0006,Apex Manufacturing,Manufacturing,India,2024.0,Climate,Scope 1 Emissions,Emissions,15656.5,tCO2e,Internal ESG System,SRC-2024-01,True,tCO2e,Climate,True,Apex Manufacturing|2024.0|Scope 1 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0007,Apex Manufacturing,Manufacturing,India,2024.0,Climate,Scope 2 Emissions,Emissions,33592.3,tCO2e,Internal ESG System,SRC-2024-01,True,tCO2e,Climate,True,Apex Manufacturing|2024.0|Scope 2 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0008,Apex Manufacturing,Manufacturing,India,2024.0,Climate,Scope 3 Emissions,Emissions,50090.4,tCO2e,Internal ESG System,SRC-2024-01,True,tCO2e,Climate,True,Apex Manufacturing|2024.0|Scope 3 Emissions,False,False,False,False,False,False,False,False,0,Valid,None
R0009,Apex Manufacturing,Manufacturing,India,2024.0,Waste,Waste Recycled,,6355.6,tonnes,Internal ESG System,SRC-2024-01,True,tonnes,Waste,True,Apex Manufacturing|2024.0|Waste Recycled,True,False,False,False,False,False,False,False,1,Exception,Medium
R0010,Apex Manufacturing,Manufacturing,India,2024.0,Water,Water Consumption,,1222.8,ML,Internal ESG System,SRC-2024-01,True,ML,Water,True,Apex Manufacturing|2024.0|Water Consumption,False,False,False,False,False,False,False,False,0,Valid,None
